protein_id	fasta_headers	gene_symbols_or_id	MS1-L	MS2-L	MW1-L	MW2-L
Q00560	>sp|Q00560|IL6RB_MOUSE Interleukin-6 receptor subunit beta OS=Mus musculus OX=10090 GN=Il6st PE=1 SV=2	IL6ST	19.5239095218606	19.6389301988198	19.5870362502086	19.599388877066
Q9Z1X4	>sp|Q9Z1X4|ILF3_MOUSE Interleukin enhancer-binding factor 3 OS=Mus musculus OX=10090 GN=Ilf3 PE=1 SV=2	ILF3	19.5160605602224	19.6452676329204	19.5546586978941	19.6565035958077
O55222	>sp|O55222|ILK_MOUSE Integrin-linked protein kinase OS=Mus musculus OX=10090 GN=Ilk PE=1 SV=2	ILK	20.0091768891675	19.9000293357281	19.8532105943727	19.7223958158565
Q8R0F6	>sp|Q8R0F6|ILKAP_MOUSE Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Mus musculus OX=10090 GN=Ilkap PE=1 SV=1	ILKAP	19.0039796145319	19.0004640020962	19.2142219319446	19.262502624565
Q3TT38	>sp|Q3TT38|ILRUN_MOUSE Protein ILRUN OS=Mus musculus OX=10090 GN=Ilrun PE=2 SV=2	ILRUN	16.9784885889691	17.6587975981847	17.1699911774396	17.4589845522258
Q8BU33	>sp|Q8BU33|HACL2_MOUSE 2-hydroxyacyl-CoA lyase 2 OS=Mus musculus OX=10090 GN=Ilvbl PE=1 SV=1	ILVBL	20.2970237468665	20.2019803400428	20.0692882092613	20.0049007265016
E9PVS5	>tr|E9PVS5|E9PVS5_MOUSE Isoform of Q8CAQ8, MICOS complex subunit MIC60 (Fragment) OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1	IMMT	16.6004399784392		16.707605122084	17.2153270131475
Q8CAQ8	>sp|Q8CAQ8|MIC60_MOUSE MICOS complex subunit Mic60 OS=Mus musculus OX=10090 GN=Immt PE=1 SV=1	IMMT	19.6636273876796	19.4731185924438	19.6297369581006	19.5920606537993
Q8VHZ7	>sp|Q8VHZ7|IMP4_MOUSE U3 small nucleolar ribonucleoprotein protein IMP4 OS=Mus musculus OX=10090 GN=Imp4 PE=2 SV=1	IMP4	19.8962005784374	20.1118861651957	19.8005157655372	20.017716464373
O55023	>sp|O55023|IMPA1_MOUSE Inositol monophosphatase 1 OS=Mus musculus OX=10090 GN=Impa1 PE=1 SV=1	IMPA1	19.5136975711169	19.6364209237112	19.2576083647645	19.4771232115763
O55091	>sp|O55091|IMPCT_MOUSE Protein IMPACT OS=Mus musculus OX=10090 GN=Impact PE=1 SV=2	IMPACT	19.2069229096364	19.1902575504736	18.8137317830853	19.2676610362882
P50096	>sp|P50096|IMDH1_MOUSE Inosine-5'-monophosphate dehydrogenase 1 OS=Mus musculus OX=10090 GN=Impdh1 PE=1 SV=2	IMPDH1	19.5734509876219	18.8910953494192	19.1187961672047	18.9336095749589
P24547	>sp|P24547|IMDH2_MOUSE Inosine-5'-monophosphate dehydrogenase 2 OS=Mus musculus OX=10090 GN=Impdh2 PE=1 SV=2	IMPDH2	20.1065555741778	19.9217157237754	20.2210138565734	20.0817300590165
Q0GNC1	>sp|Q0GNC1|INF2_MOUSE Inverted formin-2 OS=Mus musculus OX=10090 GN=Inf2 PE=1 SV=1	INF2	19.3663227102714	19.2107399928001	19.2545906289595	19.0748978308575
Q8C0D7	>sp|Q8C0D7|ING4_MOUSE Inhibitor of growth protein 4 OS=Mus musculus OX=10090 GN=Ing4 PE=1 SV=2	ING4	19.2986726621622	18.535020651657	19.1090080690419	19.2361173333306
Q9CX62	>sp|Q9CX62|INKA1_MOUSE PAK4-inhibitor INKA1 OS=Mus musculus OX=10090 GN=Inka1 PE=1 SV=2	INKA1	18.2186674630316	17.8359582401041	18.5126308294816	18.4673934621833
Q8BHA0	>sp|Q8BHA0|IN80C_MOUSE INO80 complex subunit C OS=Mus musculus OX=10090 GN=Ino80c PE=1 SV=1	INO80C	19.7893787856074		20.268879506285	
P49442	>sp|P49442|INPP_MOUSE Inositol polyphosphate 1-phosphatase OS=Mus musculus OX=10090 GN=Inpp1 PE=1 SV=2	INPP1	18.7124185831885	18.6290466231328	18.5732404006084	18.0954254518497
Q6P549	>sp|Q6P549|SHIP2_MOUSE Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Mus musculus OX=10090 GN=Inppl1 PE=1 SV=1	INPPL1	19.1997656660797	19.1124753219915	19.3309995658496	19.4620941848448
Q6P4S8	>sp|Q6P4S8|INT1_MOUSE Integrator complex subunit 1 OS=Mus musculus OX=10090 GN=Ints1 PE=1 SV=2	INTS1	17.3921220270134	17.5839051754519	17.8378057714449	17.4072032011533
Q9D168	>sp|Q9D168|INT12_MOUSE Integrator complex subunit 12 OS=Mus musculus OX=10090 GN=Ints12 PE=1 SV=1	INTS12	20.0219699335841	20.0989439546626	20.1745225397575	20.1721097840828
Q8QZV7	>sp|Q8QZV7|INT13_MOUSE Integrator complex subunit 13 OS=Mus musculus OX=10090 GN=IntS13 PE=1 SV=2	INTS13	19.3088666266318	19.2044694579896	19.5318299757777	19.5421477518624
Q8CHT3	>sp|Q8CHT3|INT5_MOUSE Integrator complex subunit 5 OS=Mus musculus OX=10090 GN=Ints5 PE=2 SV=1	INTS5	19.0892346688153	18.9551856692322	18.8372798299866	18.3929533569978
Q7TQK1	>sp|Q7TQK1|INT7_MOUSE Integrator complex subunit 7 OS=Mus musculus OX=10090 GN=Ints7 PE=1 SV=1	INTS7	18.6603786008114	18.6926794296628	18.6441375321571	18.4407968059855
Q8K2V6	>sp|Q8K2V6|IPO11_MOUSE Importin-11 OS=Mus musculus OX=10090 GN=Ipo11 PE=1 SV=1	IPO11	20.7281590918718	20.5322490277434	20.7125690387886	20.6332990931414
Q8K0C1	>sp|Q8K0C1|IPO13_MOUSE Importin-13 OS=Mus musculus OX=10090 GN=Ipo13 PE=1 SV=1	IPO13	19.3406565884512	19.7397030513414	19.8018524483142	19.8408838081062
Q8VI75	>sp|Q8VI75|IPO4_MOUSE Importin-4 OS=Mus musculus OX=10090 GN=Ipo4 PE=1 SV=1	IPO4	19.7266725429229	19.454804322645	19.3812818881912	19.0899638209131
Q8BKC5	>sp|Q8BKC5|IPO5_MOUSE Importin-5 OS=Mus musculus OX=10090 GN=Ipo5 PE=1 SV=3	IPO5	18.769432274653	18.5666993353215	18.5789049852746	18.3126333600462
Q9EPL8	>sp|Q9EPL8|IPO7_MOUSE Importin-7 OS=Mus musculus OX=10090 GN=Ipo7 PE=1 SV=2	IPO7	19.6418854876227	18.8558114701988	19.374084915945	18.9733703307564
Q7TMY7	>sp|Q7TMY7|IPO8_MOUSE Importin-8 OS=Mus musculus OX=10090 GN=Ipo8 PE=1 SV=3	IPO8	19.5516721907343	19.3733315035079	19.4976271905249	19.479794981254
Q91YE6	>sp|Q91YE6|IPO9_MOUSE Importin-9 OS=Mus musculus OX=10090 GN=Ipo9 PE=1 SV=3	IPO9	21.2707319730874	21.2497964644074	20.8610836621792	20.7492191586624
Q6PCQ0	>sp|Q6PCQ0|IQCE_MOUSE IQ domain-containing protein E OS=Mus musculus OX=10090 GN=Iqce PE=1 SV=1	IQCE		17.5357020243909		17.3449646390732
A0A7P0A164	>tr|A0A7P0A164|A0A7P0A164_MOUSE Isoform of Q9D498, IQ motif containing F3 OS=Mus musculus OX=10090 GN=Iqcf3 PE=4 SV=1	IQCF3	22.6927600434034	22.7853005461535	23.03581376744	23.2907366473429
Q9JKF1	>sp|Q9JKF1|IQGA1_MOUSE Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus OX=10090 GN=Iqgap1 PE=1 SV=2	IQGAP1	20.2510993248742	19.8341185302589	20.0310523540912	19.7023375835871
A0A1D5RM83	>tr|A0A1D5RM83|A0A1D5RM83_MOUSE Isoform of Q8R0S2, IQ motif and Sec7 domain 1 OS=Mus musculus OX=10090 GN=Iqsec1 PE=1 SV=1	IQSEC1	18.4306838722476	18.2887716844878	18.565613642813	18.4295457862473
Q8R4K2	>sp|Q8R4K2|IRAK4_MOUSE Interleukin-1 receptor-associated kinase 4 OS=Mus musculus OX=10090 GN=Irak4 PE=1 SV=1	IRAK4	18.2110755913631	17.8638215268473	18.5706130567012	18.2823179288107
P23906	>sp|P23906|IRF2_MOUSE Interferon regulatory factor 2 OS=Mus musculus OX=10090 GN=Irf2 PE=1 SV=1	IRF2		17.4575270276742	18.3747102543693	18.4246217224323
Q8R3Y8	>sp|Q8R3Y8|I2BP1_MOUSE Interferon regulatory factor 2-binding protein 1 OS=Mus musculus OX=10090 GN=Irf2bp1 PE=1 SV=2	IRF2BP1	19.6443832418629	19.2943991915286	19.4413589894898	19.7879988211371
E9Q1P8	>sp|E9Q1P8|I2BP2_MOUSE Interferon regulatory factor 2-binding protein 2 OS=Mus musculus OX=10090 GN=Irf2bp2 PE=1 SV=1	IRF2BP2	19.8372051926405	19.6564900428596	19.9064912892528	19.8856026245849
Q8K3X4	>sp|Q8K3X4|I2BPL_MOUSE Probable E3 ubiquitin-protein ligase IRF2BPL OS=Mus musculus OX=10090 GN=Irf2bpl PE=1 SV=1	IRF2BPL	19.3183178575317	19.4207133359152	19.6190763028297	19.7763868182127
Q61179	>sp|Q61179|IRF9_MOUSE Interferon regulatory factor 9 OS=Mus musculus OX=10090 GN=Irf9 PE=1 SV=1	IRF9	17.4132957516864	17.4308664674557	17.8732852108589	17.376553766768
Q8VIM9	>sp|Q8VIM9|IRGQ_MOUSE Immunity-related GTPase family Q protein OS=Mus musculus OX=10090 GN=Irgq PE=1 SV=1	IRGQ	20.0373479316153	20.0359718432646	20.1101656648107	20.1829204598105
Q543V3	>tr|Q543V3|Q543V3_MOUSE Isoform of P35569, Insulin receptor substrate 1 OS=Mus musculus OX=10090 GN=Irs1 PE=1 SV=1	IRS1	18.6868217454379	18.7939658213255	18.8717974615488	18.7674504209866
Q9DCB8	>sp|Q9DCB8|ISCA2_MOUSE Iron-sulfur cluster assembly 2 homolog, mitochondrial OS=Mus musculus OX=10090 GN=Isca2 PE=1 SV=2	ISCA2	18.9068252125928	18.6901410940131	19.1251134085945	19.1120273170846
Q6GU68	>sp|Q6GU68|ISLR_MOUSE Immunoglobulin superfamily containing leucine-rich repeat protein OS=Mus musculus OX=10090 GN=Islr PE=1 SV=1	ISLR	20.3515340236777	19.8421787404112	19.4528869074293	19.4578552657008
Q91V64	>sp|Q91V64|ISOC1_MOUSE Isochorismatase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Isoc1 PE=1 SV=1	ISOC1	21.4135670995584	21.3217795210569	21.2363546498328	21.524229777426
P85094	>sp|P85094|ISC2A_MOUSE Isochorismatase domain-containing protein 2A OS=Mus musculus OX=10090 GN=Isoc2a PE=1 SV=1	ISOC2A	19.52545955013	20.6207743748687	20.5108162119206	20.5763304020866
Q9CX00	>sp|Q9CX00|IST1_MOUSE IST1 homolog OS=Mus musculus OX=10090 GN=Ist1 PE=1 SV=1	IST1	19.5361245600739	19.7695233626209	19.2710974239041	19.6572269046586
Q69ZQ2	>sp|Q69ZQ2|ISY1_MOUSE Pre-mRNA-splicing factor ISY1 homolog OS=Mus musculus OX=10090 GN=Isy1 PE=1 SV=2	ISY1	17.6327617259023	18.056549440891	17.807630916778	17.7985853887449
Q9JHU9	>sp|Q9JHU9|INO1_MOUSE Inositol-3-phosphate synthase 1 OS=Mus musculus OX=10090 GN=Isyna1 PE=1 SV=1	ISYNA1	19.919166778967	19.7883606078676	19.4392089760104	19.6214273773526
Q8C863	>sp|Q8C863|ITCH_MOUSE E3 ubiquitin-protein ligase Itchy OS=Mus musculus OX=10090 GN=Itch PE=1 SV=2	ITCH	19.4015235320087	19.1557628035225	19.3592845398001	
Q3V3R4	>sp|Q3V3R4|ITA1_MOUSE Integrin alpha-1 OS=Mus musculus OX=10090 GN=Itga1 PE=1 SV=2	ITGA1	19.2684561883401	17.6012255108758	18.2998558354757	17.6967773803226
A0A0B4J1F0	>tr|A0A0B4J1F0|A0A0B4J1F0_MOUSE Isoform of P61622, Integrin alpha 11 OS=Mus musculus OX=10090 GN=Itga11 PE=1 SV=1	ITGA11	19.2725165626375	18.7078884269694	18.8636619047663	18.7578435927412
Q62470	>sp|Q62470|ITA3_MOUSE Integrin alpha-3 OS=Mus musculus OX=10090 GN=Itga3 PE=1 SV=1	ITGA3	18.4130633106052	18.1446699615692	18.3128298567726	18.1824382262015
P11688	>sp|P11688|ITA5_MOUSE Integrin alpha-5 OS=Mus musculus OX=10090 GN=Itga5 PE=1 SV=3	ITGA5	20.0902309576584	20.0895539150451	19.6951799773625	19.7114605508686
Q61739	>sp|Q61739|ITA6_MOUSE Integrin alpha-6 OS=Mus musculus OX=10090 GN=Itga6 PE=1 SV=3	ITGA6	18.9102285674114	18.0175917516836	19.116061751352	19.8343288798136
G3X9Q1	>tr|G3X9Q1|G3X9Q1_MOUSE Isoform of Q61738, Integrin alpha 7 OS=Mus musculus OX=10090 GN=Itga7 PE=1 SV=1	ITGA7	17.5908783431106			17.9152450220778
P43406	>sp|P43406|ITAV_MOUSE Integrin alpha-V OS=Mus musculus OX=10090 GN=Itgav PE=1 SV=2	ITGAV	19.5901051062166	19.3434527985089	19.396635176229	19.579075106921
P09055	>sp|P09055|ITB1_MOUSE Integrin beta-1 OS=Mus musculus OX=10090 GN=Itgb1 PE=1 SV=1	ITGB1	19.8108558372675	19.6615252586019	19.592200822866	19.5864793775404
O54890	>sp|O54890|ITB3_MOUSE Integrin beta-3 OS=Mus musculus OX=10090 GN=Itgb3 PE=1 SV=2	ITGB3	19.5616102397249	18.8267479071629	18.7727871066352	18.7785411097907
O70309	>sp|O70309|ITB5_MOUSE Integrin beta-5 OS=Mus musculus OX=10090 GN=Itgb5 PE=1 SV=2	ITGB5	19.783005765645	19.4094104508246	19.542309989595	19.9718514836564
Q61703	>sp|Q61703|ITIH2_MOUSE Inter-alpha-trypsin inhibitor heavy chain H2 OS=Mus musculus OX=10090 GN=Itih2 PE=1 SV=1	ITIH2	20.477264425738	20.4673642820058	19.5018647037317	19.6056428689854
Q61704	>sp|Q61704|ITIH3_MOUSE Inter-alpha-trypsin inhibitor heavy chain H3 OS=Mus musculus OX=10090 GN=Itih3 PE=1 SV=3	ITIH3	19.9190376303689	20.2749385169203	19.6151530369161	20.3203759233364
Q61500	>sp|Q61500|ITM2A_MOUSE Integral membrane protein 2A OS=Mus musculus OX=10090 GN=Itm2a PE=2 SV=2	ITM2A	20.1632217465221	19.8057512400683	19.6297176092565	20.0713585139614
Q91VK4	>sp|Q91VK4|ITM2C_MOUSE Integral membrane protein 2C OS=Mus musculus OX=10090 GN=Itm2c PE=1 SV=2	ITM2C	19.4584220694424	19.2196193765731	19.0855596146308	19.3753613045124
Q9D892	>sp|Q9D892|ITPA_MOUSE Inosine triphosphate pyrophosphatase OS=Mus musculus OX=10090 GN=Itpa PE=1 SV=2	ITPA	19.4624560090324	19.7296911357581	19.5277532577098	19.8496089356211
P70227	>sp|P70227|ITPR3_MOUSE Inositol 1,4,5-trisphosphate-gated calcium channel ITPR3 OS=Mus musculus OX=10090 GN=Itpr3 PE=1 SV=3	ITPR3	19.4251768452368	19.469720432548	19.8887436518593	19.5100733731257
E9Q3I4;E9Q3I5	>tr|E9Q3I4|E9Q3I4_MOUSE Isoform of Q9Z0R4, Intersectin 1 (SH3 domain protein 1A) OS=Mus musculus OX=10090 GN=Itsn1 PE=1 SV=1;>tr|E9Q3I5|E9Q3I5_MOUSE Isoform of Q9Z0R4, Intersectin 1 (SH3 domain protein 1A) OS=Mus musculus OX=10090 GN=Itsn1 PE=1 SV=1	ITSN1	19.0471377380791	18.7512413924018	18.9790409306156	19.0377757924495
Q9Z0R6	>sp|Q9Z0R6|ITSN2_MOUSE Intersectin-2 OS=Mus musculus OX=10090 GN=Itsn2 PE=1 SV=2	ITSN2	17.4448791091619	17.9139410226075	18.2474824102895	17.999392255965
Q9JHI5	>sp|Q9JHI5|IVD_MOUSE Isovaleryl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Ivd PE=1 SV=1	IVD	19.8520580334689	19.6400795706979	19.6598516799538	19.7628786064354
Q920Q8	>sp|Q920Q8|NS1BP_MOUSE Influenza virus NS1A-binding protein homolog OS=Mus musculus OX=10090 GN=Ivns1abp PE=1 SV=2	IVNS1ABP	22.1832238242073	21.963384775607	22.3192657659033	22.2255591871069
A0A1D5RLV0	>tr|A0A1D5RLV0|A0A1D5RLV0_MOUSE Isoform of Q8C1D8, IWS1, SUPT6 interacting protein OS=Mus musculus OX=10090 GN=Iws1 PE=1 SV=1	IWS1	18.0268409862303	18.4195021244208	18.2565651820875	18.1426795097253
Q8C1D8	>sp|Q8C1D8|IWS1_MOUSE Protein IWS1 homolog OS=Mus musculus OX=10090 GN=Iws1 PE=1 SV=1	IWS1	20.0935672902514	20.0895946855883	20.3806900227069	20.0979235623854
Q9QXX0	>sp|Q9QXX0|JAG1_MOUSE Protein jagged-1 OS=Mus musculus OX=10090 GN=Jag1 PE=1 SV=1	JAG1	16.6703007267637	16.932832960297	16.5903410000121	17.3965147396299
Q5XKN4	>sp|Q5XKN4|JAGN1_MOUSE Protein jagunal homolog 1 OS=Mus musculus OX=10090 GN=Jagn1 PE=1 SV=2	JAGN1	18.7548571428576	18.0804883058504	17.6810017345341	18.3051878506349
P52332	>sp|P52332|JAK1_MOUSE Tyrosine-protein kinase JAK1 OS=Mus musculus OX=10090 GN=Jak1 PE=1 SV=1	JAK1	19.1737098948096	19.370275189773	19.275314897185	19.2224794968611
Q5DTX6	>sp|Q5DTX6|JCAD_MOUSE Junctional cadherin 5-associated protein OS=Mus musculus OX=10090 GN=Jcad PE=1 SV=2	JCAD	18.6643726936205	18.7214754827388	18.9886119195013	18.8104923300378
Q9QXM1	>sp|Q9QXM1|JMY_MOUSE Junction-mediating and -regulatory protein OS=Mus musculus OX=10090 GN=Jmy PE=1 SV=1	JMY	18.346017077713	17.9341389522587	17.9078689886644	
Q9ET78	>sp|Q9ET78|JPH2_MOUSE Junctophilin-2 OS=Mus musculus OX=10090 GN=Jph2 PE=1 SV=2	JPH2	18.2743515851288	17.9858926912397	19.5792255028278	19.2366045178934
P97825	>sp|P97825|JUPI1_MOUSE Jupiter microtubule associated homolog 1 OS=Mus musculus OX=10090 GN=Jpt1 PE=1 SV=3	JPT1	20.1293595907032	20.058693967176	20.486005893681	20.3649527978771
Q6PGH2	>sp|Q6PGH2|JUPI2_MOUSE Jupiter microtubule associated homolog 2 OS=Mus musculus OX=10090 GN=Jpt2 PE=1 SV=1	JPT2	18.7292389362082	18.4968476642736	18.7709332303402	18.6645982750916
P15066	>sp|P15066|JUND_MOUSE Transcription factor JunD OS=Mus musculus OX=10090 GN=Jund PE=1 SV=1	JUND	18.2854673931466	19.0089951745927	18.8582217189117	18.9958623945326
Q02257	>sp|Q02257|PLAK_MOUSE Junction plakoglobin OS=Mus musculus OX=10090 GN=Jup PE=1 SV=3	JUP	18.8391028783867	18.8796867809138	18.9821330984035	19.441381472772
E9Q238	>sp|E9Q238|KANK1_MOUSE KN motif and ankyrin repeat domains 1 OS=Mus musculus OX=10090 GN=Kank1 PE=1 SV=1	KANK1	18.3134915165577	18.1126460861104	18.4743677040079	18.7004490680615
Q8BX02	>sp|Q8BX02|KANK2_MOUSE KN motif and ankyrin repeat domain-containing protein 2 OS=Mus musculus OX=10090 GN=Kank2 PE=1 SV=1	KANK2	19.5323972281436	19.6178975498272	19.7065421619526	19.642973349192
Q8BQR4	>sp|Q8BQR4|KANL2_MOUSE KAT8 regulatory NSL complex subunit 2 OS=Mus musculus OX=10090 GN=Kansl2 PE=1 SV=1	KANSL2	17.9828069135408	17.4568218034943	17.5372475749283	17.77877378225
Q99MN1	>sp|Q99MN1|SYK_MOUSE Lysine--tRNA ligase OS=Mus musculus OX=10090 GN=Kars1 PE=1 SV=1	KARS1	19.555623619146	19.1991042905545	19.372980237908	19.2278464415221
Q8K0T4	>sp|Q8K0T4|KATL1_MOUSE Katanin p60 ATPase-containing subunit A-like 1 OS=Mus musculus OX=10090 GN=Katnal1 PE=1 SV=1	KATNAL1	18.463768660074	18.8632114307339	18.8541189090615	18.7428132837446
Q9D618	>sp|Q9D618|KBTBC_MOUSE Kelch repeat and BTB domain-containing protein 12 OS=Mus musculus OX=10090 GN=Kbtbd12 PE=2 SV=3	KBTBD12	20.0528545582489	20.2106473924828	20.1096950194029	19.8981146041998
Q80UY2	>sp|Q80UY2|KCMF1_MOUSE E3 ubiquitin-protein ligase KCMF1 OS=Mus musculus OX=10090 GN=Kcmf1 PE=1 SV=1	KCMF1	17.7943497144356	17.9717049850093	18.0997247746118	18.0151307240923
O35219	>sp|O35219|KCNH2_MOUSE Voltage-gated inwardly rectifying potassium channel KCNH2 OS=Mus musculus OX=10090 GN=Kcnh2 PE=1 SV=2	KCNH2	18.3700313984108		18.2428858172988	
O89109	>sp|O89109|KCNN4_MOUSE Intermediate conductance calcium-activated potassium channel protein 4 OS=Mus musculus OX=10090 GN=Kcnn4 PE=2 SV=1	KCNN4	18.5181312774641	18.4649547366861	18.8795861573559	18.8990623396533
Q8K201	>sp|Q8K201|KCT2_MOUSE Keratinocyte-associated transmembrane protein 2 OS=Mus musculus OX=10090 GN=Kct2 PE=1 SV=2	KCT2	20.1191647280931	19.5761277275618	19.8678708986618	20.0644651365024
Q6WVG3	>sp|Q6WVG3|KCD12_MOUSE BTB/POZ domain-containing protein KCTD12 OS=Mus musculus OX=10090 GN=Kctd12 PE=1 SV=1	KCTD12	20.1414943946276	20.1361199803081	19.8401011903152	19.8110570640957
Q8K0E1	>sp|Q8K0E1|KCD15_MOUSE BTB/POZ domain-containing protein KCTD15 OS=Mus musculus OX=10090 GN=Kctd15 PE=1 SV=1	KCTD15	18.5768389779397	18.49015720328	18.5941352574242	18.1225840463328
A6H697;E0CYD2;E0CYQ0;E0CZ97	>tr|A6H697|A6H697_MOUSE Isoform of E0CYQ0, Kctd17 protein OS=Mus musculus OX=10090 GN=Kctd17 PE=1 SV=1;>tr|E0CYD2|E0CYD2_MOUSE Isoform of E0CYQ0, Potassium channel tetramerisation domain containing 17 OS=Mus musculus OX=10090 GN=Kctd17 PE=1 SV=2;>tr|E0CYQ0|E0CYQ0_MOUSE Potassium channel tetramerisation domain containing 17 OS=Mus musculus OX=10090 GN=Kctd17 PE=1 SV=2;>tr|E0CZ97|E0CZ97_MOUSE Isoform of E0CYQ0, Potassium channel tetramerisation domain containing 17 OS=Mus musculus OX=10090 GN=Kctd17 PE=1 SV=1	KCTD17	19.7809585604508	19.7670166787905	19.9546269806305	19.691192230827
Q8VC57	>sp|Q8VC57|KCTD5_MOUSE BTB/POZ domain-containing protein KCTD5 OS=Mus musculus OX=10090 GN=Kctd5 PE=1 SV=1	KCTD5	19.2292174467218	19.5371326881142	19.3437742905855	19.5662908423454
Q6ZQ88	>sp|Q6ZQ88|KDM1A_MOUSE Lysine-specific histone demethylase 1A OS=Mus musculus OX=10090 GN=Kdm1a PE=1 SV=2	KDM1A	19.4104229138701	19.2026371665062	18.8824406425482	19.2817547112283
P59997	>sp|P59997|KDM2A_MOUSE Lysine-specific demethylase 2A OS=Mus musculus OX=10090 GN=Kdm2a PE=1 SV=2	KDM2A	18.4689927261386	18.5540184178703	18.6347617453116	18.7474678039719
Q6ZPY7	>sp|Q6ZPY7|KDM3B_MOUSE Lysine-specific demethylase 3B OS=Mus musculus OX=10090 GN=Kdm3b PE=1 SV=3	KDM3B	18.2802354560808	18.649099288295	18.725032871533	18.5074310245064
Q8BW72	>sp|Q8BW72|KDM4A_MOUSE Lysine-specific demethylase 4A OS=Mus musculus OX=10090 GN=Kdm4a PE=1 SV=3	KDM4A	19.3044549791424	19.5075553850219	19.5963110119694	19.6320161100377
Q91VY5	>sp|Q91VY5|KDM4B_MOUSE Lysine-specific demethylase 4B OS=Mus musculus OX=10090 GN=Kdm4b PE=2 SV=1	KDM4B	17.938671800946	17.6935005139033	18.4150797207067	
P41230	>sp|P41230|KDM5C_MOUSE Lysine-specific demethylase 5C OS=Mus musculus OX=10090 GN=Kdm5c PE=1 SV=4	KDM5C	19.5587783571205	19.1374804814059	19.7366575031721	19.5300226787358
Q6GV12	>sp|Q6GV12|KDSR_MOUSE 3-ketodihydrosphingosine reductase OS=Mus musculus OX=10090 GN=Kdsr PE=1 SV=1	KDSR	18.8194958545368	19.2595287027188	18.9695323540504	18.6079170301409
Q9CQX8	>sp|Q9CQX8|KGD4_MOUSE Alpha-ketoglutarate dehydrogenase component 4 OS=Mus musculus OX=10090 GN=Kgd4 PE=1 SV=1	KGD4	19.4963369903213	19.342900811218	19.8165446471641	19.657264382074
Q60749	>sp|Q60749|KHDR1_MOUSE KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Mus musculus OX=10090 GN=Khdrbs1 PE=1 SV=2	KHDRBS1	20.1603531600025	20.3538026034822	20.2247661070283	20.2782150585669
Q9R226	>sp|Q9R226|KHDR3_MOUSE KH domain-containing, RNA-binding, signal transduction-associated protein 3 OS=Mus musculus OX=10090 GN=Khdrbs3 PE=1 SV=1	KHDRBS3	19.0802738413313	18.867663682471	18.9757898832489	19.6520850592167
Q3U0V1	>sp|Q3U0V1|FUBP2_MOUSE Far upstream element-binding protein 2 OS=Mus musculus OX=10090 GN=Khsrp PE=1 SV=2	KHSRP	20.2620623324085	20.3150432061883	20.454289334923	20.4036313506691
Q91X21	>sp|Q91X21|K2013_MOUSE Uncharacterized protein KIAA2013 OS=Mus musculus OX=10090 GN=Kiaa2013 PE=1 SV=1	KIAA2013	20.2440852413102	20.3571397521216	20.0821903529275	20.5442056785479
Q6P9P6	>sp|Q6P9P6|KIF11_MOUSE Kinesin-like protein KIF11 OS=Mus musculus OX=10090 GN=Kif11 PE=1 SV=1	KIF11	19.1505672252529	18.8014364147741	18.8843274445052	19.252819503678
A0A286YCV9;E9Q4K7	>tr|A0A286YCV9|A0A286YCV9_MOUSE Kinesin family member 13B OS=Mus musculus OX=10090 GN=Kif13b PE=1 SV=1;>tr|E9Q4K7|E9Q4K7_MOUSE Isoform of A0A286YCV9, Kinesin family member 13B OS=Mus musculus OX=10090 GN=Kif13b PE=1 SV=1	KIF13B	18.1057955524712	18.023714007825	18.3420016718971	18.2542044835987
P33173	>sp|P33173|KIF1A_MOUSE Kinesin-like protein KIF1A OS=Mus musculus OX=10090 GN=Kif1a PE=1 SV=2	KIF1A	20.2189827018191	19.4501655538632	20.1617837851247	19.6220604718929
A2AH75	>tr|A2AH75|A2AH75_MOUSE Isoform of Q60575, Kinesin family member 1B OS=Mus musculus OX=10090 GN=Kif1b PE=1 SV=1	KIF1B	17.3039225670365	17.2138244542083	17.7237041250983	17.1729466927515
O35071	>sp|O35071|KIF1C_MOUSE Kinesin-like protein KIF1C OS=Mus musculus OX=10090 GN=Kif1c PE=1 SV=2	KIF1C	16.95594867065	17.2271657011168	17.1926085194322	16.9608016285146
Q7M6Z4	>sp|Q7M6Z4|KIF27_MOUSE Kinesin-like protein KIF27 OS=Mus musculus OX=10090 GN=Kif27 PE=1 SV=1	KIF27	16.6733364638529		16.085480284921	15.0207446881549
P28740	>sp|P28740|KIF2A_MOUSE Kinesin-like protein KIF2A OS=Mus musculus OX=10090 GN=Kif2a PE=1 SV=2	KIF2A	19.1384916681368	19.1984756789383	19.2796337878092	19.1496170486038
Q922S8	>sp|Q922S8|KIF2C_MOUSE Kinesin-like protein KIF2C OS=Mus musculus OX=10090 GN=Kif2c PE=1 SV=1	KIF2C	20.1813900685059	20.158611684039	20.6065219934519	20.0063928450302
Q61771	>sp|Q61771|KIF3B_MOUSE Kinesin-like protein KIF3B OS=Mus musculus OX=10090 GN=Kif3b PE=1 SV=1	KIF3B	18.8070297771362	18.9643205518996	18.9032256357634	19.0652171939599
